Name;Firma2;Straße;PLZ;Ort;Land;Telefon;Fax;Produkte;Kategorie;Kategorie;Kategorie;;Hallenname
BRSG;TSV 1861 Nördlingen e.V.;Deiningerstr.3;86720;Nördlingen;;09081 3019945;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
BS - Kamine & Bau;;Asbachstr. 33 b;86502;Laugna;;08272 642011;08272 642012;Öfen, Kamine ;Kamine, Kachelöfen;;;;Freigelände
Büchler Albert;Holz - Treppenbau;Im Unterdorf 10;86745;Hohenaltheim OT Niederaltheim;;09088/758;09088/718;Holztreppen ;Altbau, Modernisierung;Bauen, Ausbau, Fertighäuser, Immobilien;;;Halle S
Bundeswehr;Karrierecenter München;Dachauer Str. 128;80637;München;;089/12495616;089/12495650;Messestand der Bundeswehr mit Exponaten, Fahrzeuge der Bundeswehr ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle F, Freigelände
Bundeswehr - Karriereberatung;der Bundeswehr Donauwörth;Zirgesheimer Straße 7;86609;Donauwörth;;0906 70593411;;Messestand der Bundeswehr mit Exponaten, Fahrzeuge der Bundeswehr ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle F, Freigelände
Bündnis 90/ Die grünen Donau-Ries;;Kapellstraße19;86609;Donauwörth;;0906/12799607;;Informationsstand, Glücksrad ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle A
Casada Deutschland GmbH;;Obermeiers Feld 3;33104;Paderborn;;05254 9312490;05254 9312499;PowerBoard, Vibrationshanteln, PowerBand, ReflexPad, PowerPodest;Fitness, Gesundheit;;;;Halle H
CBDproHanf UG (haftungsbeschränkt);;Weidenweg 9b;86609;Donauwörth;;0906 40249950;;CBD Öl, Hanfzahncreme, CBD Kapseln, CBD Tee, CBD Kaugummi ...;Nahrungs- und Genussmittel;;;;Halle A
Club der Köche Donau-Ries e. V.;;Doppelmayrstraße 10;86720;Nördlingen;;09081 29076-72;09081 29076-73;Schaukochen mit Küchenmeister Uli Großmann Informationsstand;Informationsstände, Dienstleistungen, Sonderschau;Nahrungs- und Genussmittel;;;Halle D
CSU-Kreisverband Donau-Ries e. V.;;Deininger Str. 1;86720;Nördlingen;;09081/2720535;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle A
Czeschner Schreinerei GmbH & Co. KG;;Vordere Angerstraße 10;86720;Nördlingen-OT Löpsingen;;09081/805095-0;09081/805095-20;Informationsstand, Möbel ;Möbel, Küchen;;;;Halle S
DEESSE Kosmetikberatung;;In der Rinne 3;86720;Nördlingen/Baldingen;;09081 1478;;Kosmetikprodukte ;Mode, Beauty, Kosmetik;;;;Halle G
Deutsche Seniorenwerbung GmbH;;Borsigstr. 9;41469;Neuss;;02137/9944-13;02137/9944-99;Informationsstand, Glückstüte® ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle G
Deutsche Strategie Beratung GmbH;;Luitpoldstr. 13;91550;Dinkelsbühl;;07962 7126717;07962 7126178;Informationen zum Immobilienverkauf ;Bauen, Ausbau, Fertighäuser, Immobilien;Informationsstände, Dienstleistungen, Sonderschau;;;Halle E
Deutscher Alpenverein e. V.;Sektion Nördlingen;Stegmühlweg 2a;86720;Nördlingen;;09081 4832;;Flechten von Survival-Armbändern aus Paracord 2.10. Nachmittag + 3.10. ganzt., 5. + 6.10. ganzt.;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Diakoneo Offene Hilfen;;Holzgraben 1;86732;Oettingen;;;;Memory und Tischtennistorwand 04.10.;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
DOMUS-SANA;Inh. Patcharin Neumayr;Bahnhofstr.9;82223;Eichenau;;08141/3550255;08141/3550260;Dampfsauger f. Haushalt u. Gewerbe m. u. o. Chemie, Staubsauger m. Wasserfilter;Maschinen und Werkzeuge;Haushaltsgeräte, Haushaltswaren;Reinigungsgeräte und -mittel;;Halle H
Donau-Ries Kliniken;und Seniorenheime gKU;Neudegger Allee 6;86609;Donauwörth;;0906 782-1115;0906 782-1120;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Gesundheit, Medizin, Pflege;;;Halle G
Donau-Ries-Medien GmbH;Donau-Ries-Aktuell;Auf der Brücke 8;86655;Harburg;;09080 923920;09080 9239229;Informationsstand, Blättle (Donau-Ries- Aktuell);Informationsstände, Dienstleistungen, Sonderschau;;;;Halle A
Dorf- und Bürgerverein Kleinsorheim;Erhalten und Gestalten;Unterdorf 25;86753;Möttingen;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Dorfgemeinschaft Balgheim;;Dorfstr. 11;86753;Möttingen/Balgheim;;09083/1238;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Dorfladen Alerheim;;Hauptstraße 18;86733;Alerheim;;09085/9609494;;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Verschiedenes;;;Halle D
Dorfladen Amerdingen;;Schulstraße 12;86735;Amerdingen;;09089/920495;;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Verschiedenes;;;Halle D
Dorfladen Daiting;;Natterholzer Straße 6;86653;Daiting;;;;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Verschiedenes;;;Halle D
Dorfladen Fünfstetten;;Indorf 15;86651;Fünfstetten;;09091/4259976;;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Verschiedenes;;;Halle D
Dorfladen Huisheim;;Am Lettenbuck 1;86685;Huisheim;;09080/9203016;;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Verschiedenes;;;Halle D
Dorfladen Megesheim;;Bugstraße 10;86750;Megesheim;;09082/921196;;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Verschiedenes;;;Halle D
Dorfladen Oberndorf;;Eggelstetter Straße 12;86698;Oberndorf;;09090/9624570;;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Verschiedenes;;;Halle D
Dorfladen UG;;Bgm.-Böswald-Str. 12;86703;Rögling;;09094/9210183;;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Verschiedenes;;;Halle D
Dorfladen Wolferstadt;;Döckinger Straße 1;86709;Wolferstadt;;09092/6955;;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Verschiedenes;;;Halle D
Drescher Fliesen;;Kreuzweg 11;86753;Möttingen;;09083 9205497;09083 9205498;Fliesen, Bodenbeläge, Verlegematerial, Reiniger, Bauchemie;Reinigungsgeräte und -mittel;Bauen, Ausbau, Fertighäuser, Immobilien;Altbau, Modernisierung;;Halle M
DS Smith Packaging Deutschland;Stiftung & Co. KG;Nürnberger Str. 63;86720;Nördlingen;;09081/81220;09081/81209;Verpackungsmuster, Infostand über Ausbildung;Recruiting, Arbeitskräfte, Personal;;;;Halle E
E-Service Ueckert;;Hüssingen 24;91747;Westheim;;09082/961339-0;09082/961339-90;Alarmanlagen, Sicherheitstechnik, Telefonanlagen;Informationsstände, Dienstleistungen, Sonderschau;Sicherheitstechnik;Telekommunikation;;Halle H
eb Naturstein GmbH;;Kellerstr. 1;86732;Oettingen;;09082/2215;09082/4387;Natursteininterior, Kunst, Grabmal ;Gartengeräte, Gartengestaltung, Gartenbedarf;Kunst- u. Geschenkartikel;;;Halle K
Eberhardt - Die Creative;Küche & Wohnen GmbH;Romantische Str. 15;86753;Möttingen;;09083/920892;09083/920893;Küche und Eßzimmer ;Möbel, Küchen;;;;Halle M
Eberhardt Elektro;;Bollstädter Str. 15;86735;Forheim-Aufhausen;;09089 1470;09089 1481;Wechselrichter, Solarmodule, Elektro- installationsgegenstände;Energietechnik, Energieversorgung;Elektrogeräte, HiFi, Radio;;;Halle M
Egerschützen Enkingen;;Großelfinger Str. 21;86753;Möttingen-Enkingen;;09083/1278;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
EIGNER Fertigbau GmbH & Co. KG;;Weinmarkt 7 - 8;86720;Nördlingen;;09081 293949;09081 293989;Betonfertigteilgarage ;Bauen, Ausbau, Fertighäuser, Immobilien;;;;Freigelände
EKIM Ewiv;;Lagerhausstr. 1;83410;Laufen;;0043 676 6800 443;0043 7255 6603;Rescue Gel, Gewinnspiel mit Sofortgewinn ;Gesundheit, Medizin, Pflege;;;;Halle F
Elektro Eberhardt;;Bollstädter Str. 15;86735;Forheim-Aufhausen;;09089 1470;09089 1481;Wechselrichter, Solarmodule, Elektro- Installationsgegenstände;Bauen, Ausbau, Fertighäuser, Immobilien;Altbau, Modernisierung;Energietechnik, Energieversorgung;;Halle M
Elektro-Innung Donau-Ries;;Kerschensteiner Str. 35;86720;Nördlingen;;09081 3175;09081 257365;Informationsstand, Innungs- und Azubiwerbung;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle B
Element Haar by Isabella;;Mühlstr. 7;86732;Oettingen;;09082 7029713;;Informationsstand, Haarpflege, Perücken, Haarverlängerung;Mode, Beauty, Kosmetik;;;;Halle K
EnBW ODR AG Ostwürttemberg;Donau Ries AG;Unterer Brühl 2;73479;Ellwangen;;07961 822439;07961 82652439;Strom, Gas, Telekommunikation, Energie- Beratung, Dienstleistung, E-Mobilität;Energietechnik, Energieversorgung;Telekommunikation;Informationsstände, Dienstleistungen, Sonderschau;;Halle B
Enßlin GmbH;Zimmerei - Holzbau;Enkinger Weg 1;86753;Möttingen;;09083/1491;09083/1468;Holzhausbau, Energetische Sanierung, Hallenbau;Bauen, Ausbau, Fertighäuser, Immobilien;Altbau, Modernisierung;;;Halle M
Erdgas Schwaben GmbH;;Bayerstraße 43;86199;Augsburg;;0821 9002-0;0821 9002-385;Brennstoffzelle, E-Auto, CNG-Auto ;Energietechnik, Energieversorgung;Auto, Autozubehör, Autopflege, Autohaus;;;Halle B
F.B. Zell Aktiv GmbH;Strahlenschutz;Klessinger Str. 2;94269;Rinchnach;;09921/8305;09921/8305;Baubiologische Beratungen,Strahlenschutz der gesunde Platz für Mensch und Tier,;Gesundheit, Medizin, Pflege;;;;Halle B
Fawas GmbH;Saubere Gesunde Lebensräume;Vogelsangstraße 26 / 2 b;72581;Dettingen;;07123 961820;07123 961830;Zentralstaubsauger, Wohnraumlüftung, Wäscheabwurfschächte;Bauen, Ausbau, Fertighäuser, Immobilien;Informationsstände, Dienstleistungen, Sonderschau;;;Halle H
Feistle Wassertechnologie;;Waldstr. 25;89438;Holzheim;;09075 9588475;09075 9556311;balaAqua evolution classic Tritan Trinkflaschen;Wasserenthärtung und -aufbereitung;;;;Halle F
Fenster - dicht!;;Lettenäcker 3;73571;Göggingen;;07175/8485;07175/922551;Holzfenstersanierung, Einbruchschutz ;Fenster und Türen;;;;Halle F
Fensterhaus Ansbach GmbH;;Lange Mähder 13;91589;Aurach;;09804 9159 0;09804 9159 29;Fenster, Türen, Vordächer, Dachflächen- fenster;Fenster und Türen;;;;Halle E
Ferienland Donau-Ries;;Pflegstr. 2;86609;Donauwörth;;0906/74-211;0906/74-212;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle D
Flexmo by Kögl;;Industriestr. 2;89347;Bubesheim-Günzburg;;;;Sprinter mit Fahrzeugeinrichtung ;Auto, Autozubehör, Autopflege, Autohaus;;;;Freigelände
Freiwillige Feuerwehr Enkingen;;Am Knie 13;86753;Möttingen/Enkingen;;09083/1378;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Freiwillige Feuerwehr Kleinsorheim;;Unterdorf 25;86753;Möttingen;;09083/518;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Freiwillige Feuerwehr Möttingen;;Balgheimer Str. 5;86753;Möttingen;;09083/1307;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Fürstl. Bissinger Auerquelle;W. Hörhammer GmbH & Co. KG;Auerweg 1;86657;Bissingen;;09084/210;09084/1349;alkoholfreie Getränke ;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;;;;Halle G
Fußballabteilung;TSV 1861 Nördlingen e.V.;Deiningerstr.3;86720;Nördlingen;;09081 3019945;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Garten- und Verschönerungsverein Balgheim;;Dorfstr. 4 a;86753;Möttingen;;09083 1577;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle M
Gartenbau- und;Verschönerungsverein Baldingen;Wagga-Wagga-Straße 53;86720;Nördlingen;;09081 604400;;Kartoffel oder Kräuter ;Nahrungs- und Genussmittel;Gartengeräte, Gartengestaltung, Gartenbedarf;Informationsstände, Dienstleistungen, Sonderschau;;Halle C
Gartenbau- und Verschönerungsverein Munningen;;Hopfenweg 10;86754;Munningen;;09082 1418;;Obstsäfte ;Gartengeräte, Gartengestaltung, Gartenbedarf;Nahrungs- und Genussmittel;;;Halle C
Gartenbau- und Verschönerungsverein Löpsingen;;Dallengarten 5;86720;Löpsingen;;09081 5333;;Drechsler ( Herr Erich Schabert ) ;Gartengeräte, Gartengestaltung, Gartenbedarf;Informationsstände, Dienstleistungen, Sonderschau;;;Halle C
Gartenbauverein Hürnheim;;Christgartener Str. 21;86739;Ederheim-Hürnheim;;09081 211442;;Rund um die Honigbiene ;Gartengeräte, Gartengestaltung, Gartenbedarf;Informationsstände, Dienstleistungen, Sonderschau;;;Halle C
Gartenbauverein Marktoffingen/Minderoffingen;;Dorfstraße 21;86748;Marktoffingen - Minderoffingen;;;;Naturnaher Garten mit Federvieh ;Gartengeräte, Gartengestaltung, Gartenbedarf;Informationsstände, Dienstleistungen, Sonderschau;;;Halle C
Gartenbauverein Mönchsdeggingen;;Am Kuhstein 14;86751;Mönchsdeggingen;;09088/622;;Die Zwiebel - eine uralte Nutz- und Heilpflanze ;Gartengeräte, Gartengestaltung, Gartenbedarf;Informationsstände, Dienstleistungen, Sonderschau;;;Halle C
Gartengestaltung Bissinger;;Bachweg 9;86753;Möttingen;;0163 8648829;;Gartengestaltung ;Gartengeräte, Gartengestaltung, Gartenbedarf;Informationsstände, Dienstleistungen, Sonderschau;;;Halle M
"Gasthaus ""Zur Wallfahrt""";Familie Trollmann;Oettinger Strasse 107;86650;Wemding;;09092 362;;Verkauf von Kaffee und Kuchen ;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;;;;Halle S
Gebietsverkehrswachten Nördlingen & Donauwörth;;Hallgasse 6;86720;Nördlingen;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Geiger Monika;Aloe Vera Kosmetik;Auf der Ebene 55;89343;Jettingen-Scheppach;;08225/9587144;;Aloe Vera: Pflegeprodukte, Nahrungser- gänzung, Körperreinigungskuren, Tee;Mode, Beauty, Kosmetik;Gesundheit, Medizin, Pflege;;;Halle G
Gemeinde Möttingen;;Dorfplatz 12;86753;Möttingen;;09083/9610-19;09083/9610-15;Kaffee, Kuchen ;Nahrungs- und Genussmittel;Informationsstände, Dienstleistungen, Sonderschau;;;Halle M
Gemeinde Reimlingen;;Schloßstraße 1;86756;Reimlingen;;09081 3322;09081 87340;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle D
Geopark Ries kulinarisch;;Pflegstraße 2;86609;Donauwörth;;0906 74-140;0906 74-248;Schaukochen mit Küchenmeister Uli Großmann Informationsstand;Informationsstände, Dienstleistungen, Sonderschau;Nahrungs- und Genussmittel;;;Halle D
Gouville-Sur-Mer;La Mairie;rue du nord;50560;Gouville Sur Mer;FRANKREICH;0033 0233 478259;0033 0233 479320;Austern, Weißbrotscheiben mit Camembert ;Informationsstände, Dienstleistungen, Sonderschau;Nahrungs- und Genussmittel;;;Halle D
GP JOULE GmbH;;Cecilienkoog 16;25821;Reußenköge;; 04671 6074-0;;Erneuerbare Energie Projekte, Wasser- stoffmodell, Elektromobilität;Energietechnik, Energieversorgung;Mobilität, Zweirad, Reisen;;;Halle A
Gutmann Erdbau GmbH & Co.KG;;Unterer Kesselweg 8;86744;Hainsfarth;;09082 921747;09082 911819;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle K
Habicht Matthias;Imker;;91717;Wassertrüdingen;;;;Imker ;Nahrungs- und Genussmittel;;;;Halle A
Hamm Bauelemente;;Ziegelstr. 11;89518;Heidenheim;;0171 2839476;;Spezialreiniger, Schaum macht's möglich ;Reinigungsgeräte und -mittel;;;;Halle F
Hartmann Thomas;Weideschweine;;55606;Lohmühle;;;;Fleisch ;Nahrungs- und Genussmittel;;;;Halle A
HÄRTSFELDER;Familienbrauerei Hald e.k.;Hofener Str. 19;89561;Dischingen-Dunstelkingen;;07327/9229-0;07327/9229-29;Härtsfelder Biere u. Biermisch-Getränke, Haldina Säfte, Erfrischungs-Getränke;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;;;;Halle H
Heim & Haus Vertriebsgesellsch. für;Kunststofffenster u. -rollläden mbH;Industriestr. 6;91207;Lauf/Pegnitz;;09123 942862;09123 82411;Markisen, Haustüren, Rollläden, Fenster, Vordächer;Altbau, Modernisierung;Wintergärten, Überdachungen, Markisen;Fenster und Türen;Bauen, Ausbau, Fertighäuser, Immobilien;Halle H, Freigelände
Heiss Jochen;Schreinerei;Gartengasse 20;86732;Oettingen;;09082 966933;09082 966930;Massivholzbett, Möbel ;Betten, Bettwäsche, Felle;Möbel, Küchen;;;Halle S
Herrmann GmbH;die Möbelwerkstätte;Wörnitzostheim 36 a;86733;Alerheim-OT Wörnitzostheim;;09085/9697-0;09085/9697-30;Küchen aus eigener Fertigung ;Möbel, Küchen;Bauen, Ausbau, Fertighäuser, Immobilien;;;Halle S
Hieble R.;Baumaschinentechnik;Dr.-Friedrich-Drechsler-Str. 4;86609;Donauwörth;;0906 98005440;0906 9998417;Bagger, Radlader, Rüttelplatten, Stampfer, Baukompressoren;Bauen, Ausbau, Fertighäuser, Immobilien;Maschinen und Werkzeuge;;;Freigelände
HK-Marketing;Harry Kreutz;Kleine Tröt 28;52477;Alsdorf;;02404 957254;02404 957538;Sprühversiegelung ;Reinigungsgeräte und -mittel;Haushaltsgeräte, Haushaltswaren;;;Halle H
Hofmann GmbH;Solar-Power;Waldstetten 4;86709;Wolferstadt;;09092 1226;09092 911365;Speichersysteme, Photovoltaik-Module, Infrarotheizungen, Wärmepumpe;Energietechnik, Energieversorgung;;;;Halle B
Holunderhof Lohe;Werner und Sieglinde Beck;Lohe 2;86732;Oettingen;;;;versch. regionale Produkte ;Nahrungs- und Genussmittel;;;;Halle A
Holz - Treppenbau;Büchler Albert;Im Unterdorf 10;86745;Hohenaltheim OT Niederaltheim;;09088/758;09088/718;Holztreppen ;Bauen, Ausbau, Fertighäuser, Immobilien;Altbau, Modernisierung;;;Halle S
Hönle Markus;Zimmerei;Ottingerstr. 18;86709;Wolferstadt;;09092/8250;09092 5636;Holzbauteile ;Bauen, Ausbau, Fertighäuser, Immobilien;Altbau, Modernisierung;;;Halle A
Hübler GmbH;Wintergarten - Bauelemente;Ledergasse 3;86732;Oettingen;;09082/2086;09082/8546;Wintergarten, Fenster, Sonnenschutz ;Altbau, Modernisierung;Fenster und Türen;Wintergärten, Überdachungen, Markisen;;Halle K
International Protactics Federation e.V.;Sportschule;Bahnhofstraße 12a;73441;Bopfingen;;07362 921906;; ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
INVITALIS GmbH;;Ferdinand-Braun-Str. 22;85053;Ingolstadt;;08453 33801-0;08453 33801-20;INVITALIS-Produkte ;Gesundheit, Medizin, Pflege;;;;Halle G
Jemako;August Thomas;Binsengassse 2;86754;Munningen;;09082/9133054;;Reinigungsmittel, Tücher Standbesetzung vom 04. bis 06. Oktober;Reinigungsgeräte und -mittel;Bekleidung, Pelze, Leder;;;Halle E
